data,RO,AC,AM,RR,PA,AP,TO,MA,PI,CE,RN,PB,PE,AL,SE,BA,MG,ES,RJ,SP,PR,SC,RS,MS,MT,GO,DF
2020-03-30,12,42,11,16,21,8,10,23,16,382,72,15,73,13,16,173,257,71,656,1565,155,197,241,44,18,61,312
2020-04-30,1000,404,1610,519,2876,1080,138,3188,506,7544,1120,736,6374,1023,430,2825,1781,2515,9276,28965,1407,2085,1466,255,297,781,1356
2020-05-30,9486,6072,18250,3262,37296,9313,3981,32418,4604,46206,7070,12021,31195,8973,6414,17424,9309,12681,51799,108045,4473,8778,9242,1418,2361,3585,9474
2020-06-30,42502,13253,35946,14401,103206,28492,10758,79927,20060,107719,28635,44194,55227,34721,23732,70657,43868,45154,111296,283639,22877,26354,26941,7965,15636,24381,49218
2020-07-30,76814,19573,53351,30910,153350,36272,24167,118627,49489,168108,47502,75803,88023,56725,52769,156014,120636,78934,161729,537161,73488,80904,66473,24287,50447,65269,104442
2020-08-30,109358,24638,63776,42738,199171,42892,50206,150473,76336,210439,59292,98052,118020,75804,65712,246893,210408,106681,220573,817339,130603,146864,124482,48522,90337,130863,160796
2020-09-30,131822,28222,72333,49469,230449,48254,67768,172769,95064,235870,66990,111991,138755,83882,70282,299079,287873,127301,261165,1003614,178898,215478,190572,69706,123416,209411,192245
2020-10-30,142992,30758,81051,55548,252389,52030,75165,184909,111682,266029,78436,122714,153241,87558,76718,339486,348511,150005,304941,1134795,212730,256356,243402,81998,142593,255123,212762
2020-11-30,161076,36259,88181,61626,270548,59131,81369,192346,125891,292189,92236,134651,172475,91737,82345,387839,405680,184278,349262,1265030,280084,364344,322058,99061,158133,279413,229146
2020-12-30,190070,41355,96576,66698,292712,67702,89771,199916,140808,321736,113349,153712,208644,100975,102985,471454,522400,239441,422006,1481294,412627,489069,444212,132431,178768,308202,251135
2021-01-30,247914,48347,117458,71945,328800,76884,101825,206578,157378,358208,135824,177110,247560,113398,126829,562973,711514,284417,512914,1810396,547430,575616,546708,160623,215392,350349,276572
